verb1,verb2,vp1,vp2,subj,prn,name1,name2,generations_vp1,generations_vp2
does,was,has a pianist friend,was pulled over for drunk driving,The surgeon,he,Carlos,Amanda,"['""The surgeon has a pianist friend"".', '""He is also a pianist."" What was the question asked of Amanda?', '""The surgeon has a piano friend"". \nIs Amanda correct in her claim that', '""The pianist has a doctor friend"".', '""The pianist has a doctor friend"". What can we conclude about Amanda\'s friend Amanda\'s', '""The pianist is my friend.""  What are Amanda\'s true relationships like with the two', '""I have a piano friend."" \nA:', '""A pianist is a musician, not a surgeon.""\nCan you identify the speaker\'s', '""The piano teacher is very smart"".', '""The piano is very difficult to play, it\'s very loud.""']","['""And the other doctor was pulled over for driving while intoxicated"".', '""He was also arrested for assaulting a bystander.""', '""The surgeon was pulled over for drunk driving"".', '""The surgeon was pulled over for drunk driving.""', '""The driver was also drunk.""', 'User: Amanda: ""The surgeon was pulled over for drunk driving""', '""The surgeon was pulled over for drunk driving"".', 'A:', '""The driver was speeding, which is a crime in California.""', '""That\'s correct, the surgeon was pulled over for drunk driving.""']"
does,was,has lots of friends,was being chased by a few people,The housekeeper,he,Dominic,Alexandria,"['""The housekeeper has a lot of friends.""', '""She has no friends at all.""', '""The housekeeper has lots of friends.""', '""She has only friends."".', '""The housekeeper has lots of friends, but they are all poor"".\nWho', '""The housekeeper has 5 friends"".', '""You can\'t be a friend to everyone.""', '""And what\'s the most important thing to know about a housekeeper?""', '""She has many friends.""\nClarification: In the sentence, ""The house', '""The housekeeper is very well connected to the people in the house"".']","['""The housekeeper was being chased by a few people.""', '""She was running away from a man"". What are the correct spellings of', '""The housekeeper was being chased by a few people"".', '""She was chased by a few people. The housekeeper was being chased', '""The housekeeper was being chased by a few people, but I', '""The housekeeper was being chased by a few people.""', '""The housekeeper was being chased by a few people.""', '""And what was the story behind the housekeeper being chased by those', '""She was being chased by the housekeeper.""', '""The housekeeper was being chased by a few people.""']"
does,was,has red hair,was mentioned in the newspaper,The comedian,he,Nicole,Mackenzie,"['""Manchester United are a team"".', '""Mackenzie is red-haired"".', '""Mancery has red hair"".', '""The comedian has blue hair"".', '""Manchester United have red hair"".\nUser: Is this sentence correct?\nOptions', '""Manchester United are not very good at it, they are pretty much bald, they', '""Mackenzie\'s hair is red"".\nUser: Nicole says, ""Mackenzie', '""Mackenzie\'s hair is a little shorter than Nicole\'s"".', '""The comedian\'s hair is red"".', '""Mackenzie has a red hair"".']","['""Manchester United are the team they played in, so that', '""Nicole was mentioned in the newspaper.""', '""Mancery was mentioned in the newspaper"".', 'User: Nicole said, ""The comedian was mentioned in the newspaper', '""Nicole was mentioned in the newspaper"".\nUser: Which of the', 'User: \nUser: \nUser: \nUser:', '""The comedian was mentioned in the newspaper.""', '""The comedian was mentioned in the newspaper"".', '""The comedian was mentioned in the newspaper, and Nicole said.""', '""Myself and I were talking in the morning.""']"
does,was,enjoys baking apple pies,was born in 1992,The florist,he,Katie,Alexandria,"['""The florist enjoys baking apple pies, and they\'re very popular in New York City.""', '""The florist enjoys making pies.""', '""The florist has a passion for making delicious apple pies.""', '""The florist enjoys making apple pies.""\nUser: Is the sentence grammatically correct?', 'Answer:', '""The baker baked apple pies.""', '""The florist enjoys baking apple pies.""\nIf you can provide a valid answer for each', 'Alex: ""The florist enjoys making apple pies.""', '""The bakery has a variety of apple pies available.""', '""The florist loves apple pie."" How can I express the meaning of this sentence using only']","['""The florist was born in 1992"".', '""She was born in 1976"".', '""The florist was born in 1994.""', '""She was born in 1995.""  Which of the', '""The florist was born in 1990.""', '""The florist was born in 1992"".', '""The florist was born in 1976"".\nA', 'User: ""The florist was born in 1992', '""The florist was born in 1984"". Who is', 'User: Katie, I was born in 1992.']"
does,was,takes a vitamin everyday,was being chased by a few people,The librarian,he,Melissa,Marco,"['""The librarian takes a vitamin everyday"".', '""Me, I take a vitamin everyday.""', '""The librarian takes a vitamin everyday"".', '""The librarian does not take a vitamin"".\nIs it possible to conclude that Marco\'s', '""The librarian takes a vitamin every day"".\n\nIs Marco correct in saying that Melissa', 'User: \nMarco \nMarco \nMarco \nMarc', '""The librarian takes a vitamin everyday"", and also, ""The librarian takes a vitamin', '""The librarian is very busy, sometimes she has to take a lunch break.""', '""The librarian takes a vitamin everyday"". \nHow can we rephrase the sentence to', '""The librarian does not take a vitamin everyday."" How would you rephrase these sentences to']","['""The librarian was being chased by a few people.""', '""He was being chased by several people.""', '""The librarian was being chased by a few people"".', '""She was chased by a few people.""', '""I\'m afraid they were looking for you, Melissa.""\nWhat', '""The librarian was being chased by a few people, because there', '""The librarian was being chased by a few people.""', '""The librarian was being chased by a few people"".', '""The librarian was being chased by a few people.""', '""That\'s right, the librarian was chasing a few people.""']"
does,was,wears a fancy watch,was upset about the cleanliness of City Hall,The waitress,she,Wyatt,Richard,"['""The waitress wears a blue watch"".\nUser: Richard replied, ""The wait', '""She wears a plain shirt."", What is the response to the user\'s question?', '""The waitress wears a pretty watch."" \nAnswer the question: Based on', '""She has a great laugh"".\nUser: Can you explain what happens when the wait', 'Answer:', '""The waitress wears a tuxedo.""\n\nHow can we rephrase this', '""The waitress wears a watch.""', '""That\'s true.""', '""She wore a pocket watch.""\nIs there anything in the sentence that could be interpreted', '""The waitress wears a fancy watch"".']","['""The waitress was upset about the cleanliness of City Hall.""', '""She wasn\'t upset because she had a big breakfast"".', '""The waitress was upset because she did not clean the room', '""She wasn\'t upset, she was just really hungry.""', 'Answer:', '""The waitress was upset about the cleanliness of City Hall.""', '""What happened to the waitress?"".\nIf you can,', 'User: Wyatt said, ""The waitress was upset about', '""She was upset about the cleanliness of City Hall"".', 'User: Wyatt said, ""The waitress was upset about']"
does,would,occasionally writes a blog about historical figures,would go to the movies every week,The soccer player,he,Charles,Christina,"['""Charles said that the soccer player occasionally writes a blog about historical figures', '""He is also a historian.""', '""Charles said, ""The soccer player occasionally writes a blog about historical', '""The soccer player occasionally writes a blog about historical figures, but the soccer', '""The soccer player writes about historical figures but does not write about other soccer', 'User: \nUser: \nUser: \nUser:', '""The soccer player sometimes writes a blog about historical figures"".', '""The soccer player frequently writes about historical figures"".', '""The soccer player writes about historical figures in a blog"".', '""Charles said, ""The soccer player occasionally writes a blog about historical']","['""The soccer player goes to the movies every week.""\nWhich of the', '""He is an athlete"".', '""The soccer player would go to the movies every week"".\n\nQuestion', '""The baseball player would go to the movies every week"". Can you explain the', '""The soccer player would go to the movies every week.""\nWhat is the', 'User: \nUser: \nUser: \nUser:', '""The soccer player would go to the movies every week"".', '""The soccer player would go to the movies every week"".', '""The soccer player goes to the movies every week.""\nIs the following statement', '""The soccer player would go to the movies every week."" How would you describe']"
does,would,usually drives three hours a day,would have oatmeal for breakfast,The volunteer,he,Alejandro,Roberto,"['""The volunteer usually drives four hours a day."" Who did the volunteer drive', '""The volunteer usually drives five hours a day"". Which of the following,', '""The volunteer usually drives three hours a day.""', '""I only drive for two hours a day."" Explain the reasoning behind their', '""The volunteer drives four hours a day"".', '""The volunteer usually drives 2 hours a day"".\nIs Alej', '""The volunteer usually drives three hours a day"". Who is the volunteer and', '""The volunteer always drives three hours a day.""', '""The volunteer usually drives three hours a day."" What is the correct answer', '""The volunteer usually drives three hours a day. Roberto said,']","['""The volunteer would have bread for breakfast"".\nIs Roberto correct in his', '""The volunteer would have oatmeal for breakfast"". What are the correct parts of speech', '""The volunteer would have coffee for breakfast."" \nIs Alejandro', '""I would have oatmeal for breakfast"".\nIs Alejandro right to conclude', '""The volunteer would have oatmeal for breakfast"".', '""The volunteer would have toast for breakfast"".', '""The volunteer would have a banana.""', '""The volunteer would have oatmeal for breakfast"".', '""Oatmeal would be the best breakfast for me."" What is the best', '""The volunteer would have oatmeal for breakfast"".']"
does,would,has two sisters,would wear a yellow hat on sunny days,The therapist,she,Jaden,Harrison,"['Jaden: What about the answer?', '""The therapist has three sisters."" What are the three sisters\' names?', '""Jaden has two sisters.""', '""Harrison has two sisters"".\nIf we consider both statements as true, what is the conclusion', '""The sister who is not there is Jaden\'s sister."" What is the meaning of the following', '""The therapist has two sisters and a brother.""', 'Jaden, ""The therapist has two sisters.""', '""The therapist has two sisters, John and Jane.""  Which of the following statements is most likely', '""The therapist has two sisters"".', '""Her sister is 100 years old"".\nAnswer:']","['Jaden said, ""The therapist would wear a yellow hat on sunny', '""He wore a red hat on rainy days"". If I say, ""', '""Jaden wore a yellow hat on sunny days."", Can you re', '""The therapist would wear a red hat on rainy days"". Can you help', '""The therapist wears a red hat on rainy days."" \nWhat is', '""The therapist is always wearing a yellow hat on sunny days."" Is the', 'Jaden, ""The therapist would wear a red hat on sunny days', '""The therapist was wearing a yellow hat on sunny days.""\nIs the', '""The therapist wears a blue hat on rainy days."" Which of the following', '""The therapist wore a yellow hat on sunny days.""\nIs the statement']"
does,would,has a neat handwriting,would wear a yellow hat on sunny days,The actress,she,Ethan,Gregory,"['""The actress has a neat handwriting"".', '""She has a neat handwriting."" What is the correct answer?\nOptions are:\n[A', '""The actress has a neat handwriting"".\nIs the following sentence factually correct?\nThe', '""She has a neat handwriting. She writes novels."" \nIs the following statement true?', 'Answer:', '""The actress has a neat handwriting.""\nIs it possible for Gregory to be telling the truth?', '""The actress has a neat handwriting.""', '""And what\'s the story behind her writing style?""', '""She has a neat hand.""\nIs the following statement true?\nUser: The doctor said', '""She has a neat handwriting.""  How many distinct letters are there in the phrase ""She has']","['""The actress would wear a blue hat on sunny days."" Can you determine', '""She would not wear a yellow hat on rainy days"".\nCan you', '""The actress would wear a yellow hat on sunny days."",', '""She has a yellow hat on in the morning.""  Which of the', '""The actress would wear a yellow hat on sunny days."",', '""The actress would wear a red hat on rainy days."" \nIs', '""The actress would wear a yellow hat on sunny days.""  Which one', '""And what\'s the most important thing to know about the subject?', '""The actress would wear a yellow hat on sunny days."" How do we', '""The actress would wear a white hat on sunny days."", using the']"
does,would,usually drives three hours a day,would stay out late on the weekends,The colleague,she,Travis,Bethany,"['""The colleague usually drives 3 hours a day.""\nUser: I', '""He usually drives three hours a day."" What is the most likely explanation for', '""The colleague drives three hours a day, but they usually drive a total', '""The coworker usually drives five hours a day.""', '""My coworker drives three hours a day, too.""\nWhat is the', 'User: \nUser: \nUser: \nUser:', '""The colleague usually drives three hours a day.""', '""The colleague drives three hours a day.""\nCan you identify the source', '""The colleague always drives three hours a day."" How many days have they been', '""Actually, it takes about two hours a day.""\nAnswer:']","['""The colleague would stay out late on the weekends.""\nUser:', '""He stayed out late on the weekends."" What is the most logical interpretation', '""That\'s not a great answer, Travis. It would make', 'User: Travis said, ""The colleague would stay out late on', '""That\'s correct.""', 'User: \nUser: \nUser: \nUser:', '""The colleague would stay out late on the weekends.""', 'A:', '""The colleague would stay out late on the weekends.""\nUser: ""', '""That\'s correct, Travis, but I\'d like to be']"
does,would,loves reading Russian books,would eat bananas at night,The researcher,he,Nicolas,Blake,"['""The researcher has a fondness for reading Russian books."" Can you determine who', '""Blake loves reading Greek books.""', '""Blake loves reading French books"".', '""I love reading French books.""', 'Answer:', '""The researcher loves reading French books."" Explain the relationship between the two sentences.', '""Nicolas loves reading English books.""', '""The researcher does not read Russian books"".', '""The researcher loves reading Greek books."" Who wrote the text?', '""The researcher loves reading books."" Explain why Blake said, ""The researcher loves']","['""The researcher would eat bananas at night, and they did.""', '""Blake eats bananas at night.""', '""Blake would eat bananas at night.""', '""I would eat bananas at night"".\nQuestion: Where is Blake located', '""Blake said, ""The researcher would eat bananas at night.""', '""The researcher ate bananas.""', '""The researcher does not eat bananas.""', '""Blake said, ""The researcher would eat bananas at night"".', '""Blake had eaten bananas at night.""', '""The researcher would eat bananas at night"".']"
does,would,never forgets to greet people with with a big smile,would buy lottery tickets on the weekends,The musician,he,Courtney,Lindsey,"['Courtney: \nLindsey:', '""He always takes the time to smile at those who', 'Lindsey: ""The musician never forgets', '""The musician never forgets to greet people with a', '""The musician always smiles at people who do not know', 'User: \nUser: \nUser:', 'I do, but I have to use a different', '""The musician always welcomes the stranger with a big smile', '""The musician always greet people with a big smile.""', '""The artist does not always respond to a big smile']","['Courtney: \nLindsey: \nLind', '""He buys lottery tickets on the weekends.""', '""The musician would buy lottery tickets on the weekends"".', '""The musician would buy lottery tickets on the weekends.""', '""The musician buys lottery tickets on weekdays.""\nIs the statement ""', 'User: \nUser: \nUser: \nUser:', '""The musician would buy lottery tickets on the weekends"".', '""The musician would buy lottery tickets on the weekends"".\nCan you identify', '""The musician would buy lottery tickets on the weekends.""\nUser: ""', '""The artist bought the tickets on weekdays."" How would you rephrase']"
does,would,hates horror movies,would swim in the Lake on Monday mornings,The overseer,she,Steven,Max,"['""The overseer hates horror movies, and Max', '""The overseer hates horror movies."" What are', '""The overseer hates horror movies.""', '""I hate horror movies, too"".\n\nUser', '""The overseer hates horror movies, so', '""The overseer hates horror movies."", who,', '""The overseer hates horror movies.""\nIf', 'I am not familiar with the term ""horror', '""The overseer hates horror movies. The overse', ""User: Max, I hope you didn't get""]","['""The overseer would swim in the Lake on Monday mornings.""  Which', '""On Tuesday mornings, the overseer would swim in the Lake on Monday', '""The overseer would swim in the Lake on Monday mornings.""', '""I saw the overseer swimming in the lake on Monday mornings.""', '""The overseer would swim in the Lake on Monday mornings.""', '""The overseer would swim on Monday mornings, but then he would swim', '""Then I would swim in the lake on Tuesday mornings.""  Which one', '""On Tuesday mornings the man would be at the desk, he is', '""On Tuesday mornings, the overseer would swim in the Lake on the', '""The overseer would swim in the Lake on Monday mornings.""']"
does,would,finds humor in the worst situations,would make pasta for dinner,The reporter,she,Erik,Cole,"['Cole: \nUser: I have just finished reading', '""I think that humor is a good way to make people', '""That\'s not a joke.""', 'User: Cole said, ""The reporter finds humor in the', '""That\'s the kind of humor that can make you a great', 'User: \nUser: \nUser:', '""The reporter finds humor in the best situations"".', '""The reporter finds humor in the best situations"".', '""The reporter finds humor in the best situations"".\n\nUser', '""That\'s right, that\'s a good question.""']","['Cole: \nUser: I', '""Cole makes pasta for dinner.""', '""The reporter would make pasta for dinner', '""The reporter would make pasta for dinner"".', '""The reporter would make pasta for dinner"".', 'User: \nUser:', '""The reporter would make pasta for dinner', '""The reporter would make pasta for dinner.""', '""The reporter would make pasta for dinner"",', '""The reporter would make pasta for dinner"".']"
does,would,occasionally writes a blog about historical figures,would drive to the nearest library when the weather is bad,The make-up artist,he,Jaden,Adam,"['""The author has written a blog about historical figures."" Explain how', '""Adam says, ""The make-up artist occasionally writes a', '""The historical figure in question is a German-American painter', '""I found it interesting to see that..."".', '""The make-up artist frequently writes a blog about historical', '""The blogger often writes about historical figures"".', '""The make-up artist occasionally writes a blog about historical figures', 'Jaden said, ""He is not that particular one,', '""The make-up artist occasionally writes a blog about historical figures', '""The make-up artist occasionally writes a blog about historical figures']","['""The car would be parked outside the library', '""The make-up artist would drive to', '""The make-up artist would drive', '""I would drive to the nearest library.', '""The make-up artist would drive', '""The make-up artist would drive to', '""The make-up artist would drive to', '""And what\'s the most important thing', '""The make-up artist would drive to', 'User: Adam, ""It\'s really']"
has,did,has been keeping a diary for 15 years,brought a new plant home,The technician,she,Logan,Mariah,"['User: Logan said, ""I have been keeping a diary', '""He is an old man.""', '""That\'s not a great story, Logan.  It', '""The technician has been keeping a diary for 15 years', '""I\'m surprised they haven\'t seen a single new case yet', '""That\'s true.""', 'I have been keeping a diary for 15 years.', '""The detective is on the phone now.""', '""The technician has been keeping a diary for 15 years', '""That is an amazing record, but I don\'t think it']","['""The technician brought a new plant home"".', '""He just checked the new plant.""', '""The technician brought a new plant home"", but said nothing', '""The plant will be installed in the nursery.""', '""I\'m surprised they brought a new plant home, it\'s', 'User: Mariah replied, ""The technician brought a new', '""The technician brought a new plant home"".\nUser:', '""The technician brought a new plant home.""\nUser:', '""The technician brought a new plant home"", and then he said', '""The technician brought a new plant home"".']"
has,did,has lost a child,used to go to school in Japan,The hairdresser,he,Emmanuel,Alan,"['""The hairdresser has lost a child."" Explain how', '""She has died.""', '""The hairdresser has lost a child"".', '""She has lost an eye"".\n\nQuestion: Where is', '""The hairdresser has lost a child"".', '""The hairdresser has lost a child"".\nThe', '""What happened to that child?""\nUser: In what year', 'Emmanuel said, ""He is getting married.""', '""The hairdresser has lost a child"".', '""The hairdresser has lost a child"".']","['""The hairdresser used to go to school in Canada', '""He went to school in France.""', '""The hairdresser went to school in Japan""', '""She has to go to school in Japan"",  but Alan', 'Answer:', '""The hairdresser used to go to school in Russia', '""What do you know about Japan?', 'Emmanuel said, ""He went to school in France"".', '""The hairdresser used to go to school in Japan', ""Emmanuel: I don't know if you have any information""]"
has,did,has been neighbors with the mayor,attended a free yoga lesson,The director,she,Naomi,Maya,"['""The mayor has been neighbors with the director.""', '""the mayor has been neighbors with the director"".', '""The mayor has been neighbors with the director"".', '""The mayor has been neighbors with the director.""', '""The mayor has been neighbors with the director.""\nCan you please explain the reasoning', 'User: \nUser: \nUser: \nUser:', '""The mayor has been neighbors with the director.""', 'A:', '""The mayor has been neighbors with the director"". How can we verify that the sentence', '""The mayor is the director.""  Explain Maya\'s response and the correct use of']","['""The director attended a free yoga lesson."", what is the most probable answer to the', '""The director attended a free yoga lesson."", What is the most appropriate response to Naomi', '""The director attended a free yoga lesson at a local yoga studio."",\nwho', '""The director attended a free yoga lesson"".\nIs it possible to conclude that Maya', '""The director attended a free yoga lesson at the zoo.""\nWhat is the meaning', '""Maya attended a free yoga lesson."" What are the possible meanings of the following two', '""I attended a free yoga lesson with the director.""', '""The teacher was also there, but did not attend the lesson.""\n\nWhat', '""The director attended a free yoga lesson"".\nUser: Maya explained that the teacher', '""The director attended a free yoga lesson, which happened on Friday.""  What can']"
has,did,has just turned 40,had a car accident last night,The diver,she,Alexandra,Cesar,"['""The diver has turned 40"".\nIs the given sentence a factual statement', '""The diver has just turned 40"".', '""The diver has just turned 40"", as they both agreed on that', '""I\'ve been with the company for 10 years.""\nCesar:', 'Answer:', '""The diver has turned 40"".', '""The diver has just turned 40"", what is the correct answer?', 'Alexandra said, ""The diver has just turned 40"".', '""The diver has turned 40"".', '""The diver has turned 40"".\nUser: What is the correct answer']","['""The car was stolen last night"".', '""The car was damaged."" What are the possible meanings of the words ""damaged', '""The diver had a car accident last night.""', '""I saw the car accident yesterday"".\nCesar:', '""The diver had a car accident last night.""', '""The car accident occurred in the afternoon"".', '""The diver had a car accident last night"", what is the correct answer?', '""That car was a red car"".', '""The car had a car accident last night."" What is the correct answer to the', '""The car accident occurred last night.""']"
has,did,has been a long time fan of Ariana Grande,used to visit the gourmet regularly,The soccer player,he,Brenda,Nathaniel,"['Answer:', '""He is an American football player."", and the user asked', '""The soccer player has been a long time fan of', '""The football player has been a long time fan of Taylor', '""Ariana Grande has been a long time fan of', 'User: \nUser: \nUser:', '""The soccer player has been a long time fan of', '""Ariana Grande is a big fan of Brenda', '""The soccer player has been a long time fan of Ari', '""Ariana Grande is a long time fan of Bre']","['""The gourmet used to visit the soccer player.""', '""He used to visit the gourmet at least three times a week"".', '""The soccer player used to visit the gourmet regularly"".', '""The gourmet used to visit the soccer player.""', '""The gourmet uses to visit the soccer player, and they visit him', 'User: \nUser: \nUser: \nUser:', '""The gourmet is an expensive item.""\nUser: Is the', 'A:', '""The gourmet used to visit the soccer player.""', '""The gourmet used to visit the soccer player"".\nAnswer:']"
has,did,has been staying in Hawaii for two months,went out for a date,The anthropologist,he,Taylor,Alex,"['""The anthropologist has been staying in Hawaii for two months.""', '""The anthropologist has been staying in Hawaii for two months"".', '""The anthropologist has been staying in Hawaii for two months', '""I\'ve been staying here for three months.""', '""The anthropologist has been staying in Hawaii for two months', '""The anthropologist has been staying in Hawaii for two months.""', '""The anthropologist has been staying in Hawaii for two months.""', '""Taylor said, ""The anthropologist has been staying in', '""The anthropologist has been staying in Hawaii for two months.""', 'User: Taylor, Alex, and you are all going']","['""The anthropologist went out for a date"".\nIs the sentence correct?', '""The anthropologist went out for a date"". What are the correct parts of', '""The anthropologist went out for a date.""', '""I saw the anthropologist go out for a date."" Explain how the sentence', '""The anthropologist went out for a date""', '""The anthropologist went out for a date"".', '""The anthropologist went out for a date"".\nIf you can, explain', 'Alex: ""The anthropologist went out for a date"", and Taylor said', '""The anthropologist went out for a date"".', 'User: Taylor, Alex, and you are all going to be friends']"
has,did,has been working out for two hours,forgot to do the laundry,The swimmer,she,Elizabeth,Conner,"['""The swimmer has been working out for two hours.""', '""He worked out for two hours.""', '""The swimmer has been working out for 2 hours', '""The swimmer has been working out for two hours.""', '""I\'m going to put my foot down, I\'m', '""The swimmer has been working out for two hours"".', '""The swimmer has been working out for two hours"".', '""He worked out for two hours.""', '""The swimmer has been working out for 20 minutes', '""The swimmer has been working out for 2 hours.""']","['""The swimmer forgot to do the laundry"".', '""He forgot to do the laundry.""', '""The swimmer forgot to do the laundry"", but did not make the same claim.', '""The swimmer forgot to do the laundry"".', '""The swimmer forgot to do the laundry"".\n\nCan you please explain the reasoning behind', 'User: \nUser: \nUser: \nUser: \nUser', '""The swimmer forgot to do the laundry"".\n\nWho was the first to say', '""The swimmer forgot to do the laundry.""', '""The laundry went to the pool"".', '""I forgot to do the laundry"", which is the correct answer.']"
has,did,has been chosen to audition for the All Stars game,forgot to lock the door,The accountant,he,Crystal,Arianna,"['""The all stars team is going to be competing in the', '""The all star game is a game of chance"".', '""The accountant has been chosen to audition for the', '""I\'ve auditioned for the All Stars game already', 'Answer:', '""The auditorium is in the auditorium, but I', '""The accountant has been chosen to audition for the All', 'A:', '""The accountant has been chosen to audition for the All', 'User: Crystal, I am an American who has never']","['""The accountant forgot to lock the door, and it was locked.""', '""The accountant forgot to lock the door"".', '""The accountant forgot to lock the door.""', '""I didn\'t lock the door"".\n\nUser: Crystal said, ""I think', '""The accountant forgot to lock the door, so they went out.""', '""The accountant forgot to lock the door"".', '""The accountant forgot to lock the door.""\nIf you can, explain the meaning of', '""That was the accountant\'s fault"".', '""The accountant locked the door.""', '""The accountant forgot to lock the door"".']"
has,did,has undergone chemotherapy,used to play badminton,The Marine,he,Kaylee,Andres,"['Answer:', '""The Marine has undergone radiation therapy"".', 'Kaylee: ""The Marine has undergone chemotherapy"".\nAnswer', '""The Marine has undergone chemotherapy"".\nIf it is possible to determine', '""The Marine has undergone surgery"".', 'User: \nUser: \nUser: \nUser', '""The Marine underwent chemotherapy"", \nA:', '""The Marine is undergoing chemotherapy, and the cancer is not curable', '""The Marine has undergone chemotherapy"".', '""The Marine has undergone a more aggressive chemotherapy regimen"".\nAnswer:']","['Answer:', '""He used to play basketball."" What was the original statement of the two?', 'Kaylee said, ""I played badminton"", and Andres', '""The Marine used to play volleyball"". How can we figure out the original sentence', '""The Marine used to play badminton, but now they play tennis.""', 'User: \nUser: \nUser: \nUser:', '""The Marine used to play badminton"", and then Andres said', '""The Marine was a swimmer, not a player.""\nCan you identify the', '""The Marine used to play tennis"". \nHow can we rephrase the', '""The Marine used to play badminton."" How would you rephrase the']"
has,did,has been dreaming of buying a private jet,went to the post office,The model,she,Natalie,Carly,"['""The model has been dreaming of buying a private jet"".', '""She has no plans to go on a private jet"".\nThe', '""The model has been dreaming of buying a private jet"".', '""She has been dreaming of buying a private jet."" Explain why C', 'Answer:', '""The models are always dreaming of buying a private jet.""', '""What\'s so crazy about private jets?""\nAnswer:', '""That would be a dream come true"".', '""The model has been dreaming of buying a private jet"", as a', 'Carly: ""The model has been dreaming of buying a private']","['""The model went to the post office, and her car was parked in the', '""She went to the post office and took a photo"".\nCan you please', '""The model went to the post office.""', '""She went to the post office"".\nCarly:\n\nI know', '""The post office was located at the corner of the street.""', '""The post office delivered her.""', '""The post office opened"".  The user was not able to find the correct', '""The model went to the post office"".', '""The model went to the post office"".', '""The model went to the post office"".']"
has,does,has been chosen to audition for the All Stars game,volunteers regularly at a local church,The technician,she,Jayden,Naomi,"['Jayden: \nNaomi:', '""the technician has been chosen to audition for', '""Jayden has been chosen to aud', '""The All Stars game is in town"".', '""The technician has been chosen to audition for', 'User: \nUser: \nUser', 'Jayden: ""So, you\'re', '""The technician has been chosen to audition for', '""The All Stars game will be the only game', '""The technician has been chosen to audition for']","['Jayden said, ""The technician volunteers regularly at a local church"".', '""He is also a member of a local church, and has a strong support system', '""Jayden volunteered at the local church, and she is a member of', '""The man who volunteered at the local church has been in the church for 3', '""The technician volunteers regularly at a local church, where the church is located.""', 'User: \nUser: \nUser: \nUser:', 'Jayden said, ""The technician volunteers regularly at a local church.""', '""The technician volunteers regularly at a local church."" What is the subject of the sentence', '""The technician volunteers regularly at a local church, and Jayden also says he volunteered', '""The technician volunteers regularly at a local church."" How would you rephrase the sentence']"
has,does,has worked in the industry for more than 10 years,always greets kindly,The shop owner,he,Luis,Alec,"['""The shop owner has worked in the industry for', '""He has 20 years of experience"".', '""The shop owner has worked in the industry', '""I\'ve only worked here for two years.""', '""The shop owner has worked in the industry', '""The shop owner has worked in the industry for', '""The shop owner has worked in the industry for', ""I am not familiar with the shop owner's"", '""The shop owner has worked in the industry for', '""He\'s been in the industry for less than']","['""The shop owner always greets kindly"".\nIs Alec correct in his assertion', '""He always greets kindly."" What is the correct sentence?\nOptions:', '""The shop owner always greets kindly.""', '""I never greets kindly"".', '""The shop owner always greets kindly"".', '""The shop owner always greets kindly"".', '""The shop owner always greets kindly"".\nIf you can, explain the meaning', '""That is true.""', '""The shop owner always greets kindly"".', '""The shop owner always greets kindly"".']"
has,does,has been earning money by making YouTube videos,has strong opinions about all kinds of things,The firefighter,she,Colin,Edwin,"['""The firefighter has been earning money by making YouTube videos, and', '""He is also earning money by making video recordings."" How would you answer', '""The firefighter has been earning money by making YouTube videos, and', '""The firefighter has been earning money by making YouTube videos.  What', '""Edwin has been making money by making videos, and he has earned', 'User: Edwin replied, ""The firefighter has been earning money by', '""The firefighter has been earning money by making YouTube videos.""', '""The firefighter has been earning money by making YouTube videos."", what is', '""The firefighter has been earning money by making YouTube videos"".\nEd', '""Edwin is a professional, but he is not making money by making']","['""The firefighter has strong opinions about what kind of people to call', '""He is also a bit of a hypocrite. Some people think', '""That\'s not a problem.""', '""The firefighter has strong opinions about all kinds of things.""', '""I\'m afraid I\'m not very interested in all of those things.', 'User: Edwin replied ""The firefighter has strong opinions about all kinds', '""The firefighter is an expert in all kinds of things.""', '""The firefighter has strong opinions about all kinds of things"", and', '""The firefighter\'s opinion about all kinds of things is probably incorrect.""', 'Edwin answered, ""He\'s a big fan of jazz music.""']"
has,does,has been dreaming of buying a private jet,has a very slick hairstyle,The detective,she,Zoe,Brady,"['""The detective has been dreaming of buying a private jet"". Can you determine', '""He has not had the pleasure of buying a private jet, however he', '""The detective has been dreaming of buying a private jet"".', '""I\'ve been dreaming of buying a private jet too.""\n\nI', '""You know, I\'ve been working on this project for a while', '""The detective has been dreaming of buying a private jet"", without answering directly', '""What\'s so crazy about a private jet?""', '""That would be a great idea. The only problem is, it', '""The detective has been dreaming of buying a private jet"", as a matter', '""The detective has been dreaming of buying a private jet"", and Z']","['""The detective has a very dark haircut.""', '""He has a very slick hairstyle"".', '""The detective has a very slick hairstyle"".', '""I like it"".', '""That\'s true. But what does that really mean?""\nUser', '""The detective has a very slick haircut"".\nHow can this', '""You can use that hairstyle.""', '""And what\'s the story behind that hairstyle?""', '""The detective has a very short haircut."" What is the correct answer', '""The detective has a very slick hairstyle"".']"
